,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Drawdown,Max Drawdown,Calmar Ratio,VaR,Expected Shortfall,value,cash,asset value
2002-03-05,0.0,0.0,,,,0.0,0.0,,,,100000000.0,1000000.0000034202,98999999.99999657
2002-03-06,0.009814056310217145,4.9437102018439205,,,,0.0,0.0,,,,100981405.63102172,1000048.6109849893,99981357.02003673
2002-03-07,0.006803482978308351,1.2817757710915205,,,,-0.002981314543104352,-0.002981314543104352,,,,100680348.29783083,1000097.2247553247,99680251.0730755
2002-03-08,0.0064997028988873495,0.8061160681630286,,,,-0.003282142282154732,-0.003282142282154732,,,,100649970.28988872,1000146.3962788763,99649823.89360985
2002-03-11,0.003705179331571662,0.30993594700082583,,,,-0.006049506778472491,-0.006049506778472491,,,,100370517.93315718,1000294.75863442,99370223.17452276
2002-03-12,0.002975199675303797,0.19808278955311254,,,,-0.006772391998485561,-0.006772391998485561,,,,100297519.96753037,1000344.7730625197,99297175.19446784
2002-03-13,0.002253950514982561,0.12456373339141869,,,,-0.0074866315714188225,-0.0074866315714188225,,,,100225395.05149826,1000394.5127971604,99225000.5387011
2002-03-14,0.005567617996179219,0.28829293342525797,,,,-0.004205168553064298,-0.0074866315714188225,,,,100556761.79961792,1000445.0884644343,99556316.71115348
2002-03-15,0.011884829460435009,0.614708000369627,,,,0.0,-0.0074866315714188225,,,,101188482.9460435,1000495.6662232825,100187987.27982022
2002-03-18,0.014319114377945752,0.6802474770154139,,,,0.0,-0.0074866315714188225,,,,101431911.43779457,1000647.693714649,100431263.74407992
2002-03-19,0.019937380101365365,0.9252388074072349,,,,0.0,-0.0074866315714188225,,,,101993738.01013653,1000698.2819313699,100993039.72820516
2002-03-20,0.016480117472112754,0.644085940732394,,,,-0.0033896812654409247,-0.0074866315714188225,,,,101648011.74721128,1000748.5947574406,100647263.15245384
2002-03-21,0.018252111997162368,0.661702229848522,,,,-0.0016523250712072723,-0.0074866315714188225,,,,101825211.19971624,1000798.6321928606,100824412.56752338
2002-03-22,0.019310331379331913,0.64649491806629,,,,-0.0006147913923607584,-0.0074866315714188225,,,,101931033.1379332,1000848.6724170466,100930184.46551615
