,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Drawdown,Max Drawdown,Calmar Ratio,VaR,Expected Shortfall,value,cash,asset value
2002-03-05,0.0,0.0,,,,0.0,0.0,,,,100000000.0,100000000.0,0.0
2002-03-06,4.861098156916377e-05,0.008910755016981575,,,,0.0,0.0,,,,100004861.09815691,100004861.09815691,0.0
2002-03-07,9.722475190443447e-05,0.0118986690781957,,,,0.0,0.0,,,,100009722.47519045,100009722.47519045,0.0
2002-03-08,0.00014639627545598444,0.013447294801425036,,,,0.0,0.0,,,,100014639.6275456,100014639.6275456,0.0
2002-03-11,0.00029475863099936994,0.02174730872118036,,,,0.0,0.0,,,,100029475.86309993,100029475.86309993,0.0
2002-03-12,0.00034477305909885736,0.021191496800936793,,,,0.0,0.0,,,,100034477.30590989,100034477.30590989,0.0
2002-03-13,0.00039451279373947656,0.02077992508068327,,,,0.0,0.0,,,,100039451.27937394,100039451.27937394,0.0
2002-03-14,0.00044508846101298793,0.0205101436826014,,,,0.0,0.0,,,,100044508.8461013,100044508.8461013,0.0
2002-03-15,0.0004956662198611905,0.020300343756727512,,,,0.0,0.0,,,,100049566.62198612,100049566.62198612,0.0
2002-03-18,0.000647693711227193,0.02391464408635957,,,,0.0,0.0,,,,100064769.37112272,100064769.37112272,0.0
2002-03-19,0.0006982819279479635,0.023432504375228813,,,,0.0,0.0,,,,100069828.1927948,100069828.1927948,0.0
2002-03-20,0.0007485947540184501,0.023022252254135456,,,,0.0,0.0,,,,100074859.47540185,100074859.47540185,0.0
2002-03-21,0.0007986321894382087,0.02266727061143614,,,,0.0,0.0,,,,100079863.21894382,100079863.21894382,0.0
2002-03-22,0.0008486724136240742,0.022363106312302206,,,,0.0,0.0,,,,100084867.24136241,100084867.24136241,0.0
2002-03-25,0.0009985288505955925,0.02458270491418091,,,,0.0,0.0,,,,100099852.88505955,100099852.88505955,0.0
2002-03-26,0.0010480231738210222,0.02418329468526026,,,,0.0,0.0,,,,100104802.3173821,100104802.3173821,0.0
2002-03-27,0.0010975188914295053,0.023830980079972974,,,,0.0,0.0,,,,100109751.88914295,100109751.88914295,0.0
2002-03-28,0.0011464617361622853,0.02350640106774371,,,,0.0,0.0,,,,100114646.17361623,1001146.4617360423,99113499.71188019
2002-04-01,0.003239000145334847,0.06409252274981792,,,,0.0,0.0,,,,100323900.01453348,1001341.9779428766,99322558.03659059
2002-04-02,0.004428303678826628,0.08397856470248355,,,,0.0,0.0,,,,100442830.36788265,1001391.2101220904,99441439.15776056
2002-04-03,0.0004775412461937023,0.008332665464805489,,,,-0.003933344389204119,-0.003933344389204119,,,,100047754.12461936,1001440.1669106537,99046313.95770872
2002-04-04,0.005398209708083579,0.09343086756079,,,,0.0,-0.003933344389204119,,,,100539820.97080836,1001488.8483085664,99538332.1224998
2002-04-05,0.01228375068464782,0.21379305699741002,,,,0.0,-0.003933344389204119,,,,101228375.06846479,1001536.9754392202,100226838.09302557
2002-04-08,0.019450154168772604,0.3403951694785998,,,,0.0,-0.003933344389204119,,,,101945015.41687725,1001681.0925955956,100943334.32428166
2002-04-09,0.02542166533397827,0.44270102526692323,,,,0.0,-0.003933344389204119,,,,102542166.53339782,1001728.3942514892,101540438.13914633
2002-04-10,0.04044908631837418,0.744833552348851,,,,0.0,-0.003933344389204119,,,,104044908.63183741,1001775.1416401243,103043133.49019729
2002-04-11,0.03254005288612394,0.5417032315164068,,,,-0.00760155738156898,-0.00760155738156898,,,,103254005.2886124,1001822.1692997506,102252183.11931264
2002-04-12,0.0402630471744132,0.672913499330799,,,,-0.00017880658112667813,-0.00760155738156898,,,,104026304.71744132,1001868.9208715346,103024435.79656978
2002-04-15,0.03573734724511768,0.5557330613351492,,,,-0.004528562843885919,-0.00760155738156898,,,,103573734.72451177,1002009.1888335259,102571725.53567825
2002-04-16,0.027608700441053013,0.3928507012654394,,,,-0.01234119578379067,-0.01234119578379067,,,,102760870.04410529,1002056.7847042412,101758813.25940105
2002-04-17,0.01647876153461114,0.21220720861449172,,,,-0.023038440899190826,-0.023038440899190826,,,,101647876.15346111,1002104.1037899229,100645772.04967119
2002-04-18,0.016886083757089887,0.2104579785496734,,,,-0.022646953965486105,-0.023038440899190826,,,,101688608.37570898,1002151.1467877626,100686457.22892122
2002-04-19,0.014793475743402729,0.17636164449525626,,,,-0.02465820856814216,-0.02465820856814216,,,,101479347.57434027,1002198.470753785,100477149.10358648
2002-04-22,0.008924837619151749,0.10008311498398914,,,,-0.03029869420210729,-0.03029869420210729,,,,100892483.76191518,1002340.1770218827,99890143.5848933
2002-04-23,-0.0015463603186507413,-0.01600927763369553,,,,-0.0403628079348175,-0.0403628079348175,,,,99845363.96813492,1002387.5100513948,98842976.45808353
2002-04-24,0.00033897882615607777,0.003442197072973441,,,,-0.03855076429943105,-0.0403628079348175,,,,100033897.88261561,1002434.5662958734,99031463.31631973
2002-04-25,0.0029246018106010574,0.02922767941226634,,,,-0.036065661454471876,-0.0403628079348175,,,,100292460.1810601,1002482.1823851428,99289977.99867496
2002-04-26,-0.002224546754225676,-0.021163990475072225,,,,-0.041014628811487874,-0.041014628811487874,,,,99777545.32457744,1002530.0787454033,98775015.24583203
2002-04-29,-0.004770451856191182,-0.04376671006588517,,,,-0.04346155786879924,-0.04346155786879924,,,,99522954.81438088,1002674.3381288489,98520280.47625203
2002-04-30,0.006505539035054575,0.06095641836161203,,,,-0.03262393876804548,-0.04346155786879924,,,,100650553.90350546,1002722.8006086241,99647831.10289684
2002-05-01,0.016918364507533257,0.16108489395165404,,,,-0.022615928179728906,-0.04346155786879924,,,,101691836.45075332,1002771.2658771655,100689065.18487614
2002-05-02,0.028522579863367925,0.2768621199720529,,,,-0.011462844854050691,-0.04346155786879924,,,,102852257.98633678,1002819.7332372813,101849438.2530995
2002-05-03,0.025839097007252843,0.24178031440419367,,,,-0.014042003115038226,-0.04346155786879924,,,,102583909.70072529,1002867.924509555,101581041.77621573
2002-05-06,0.01991998202469958,0.17776785531428096,,,,-0.019731003240453293,-0.04346155786879924,,,,101991998.20246996,1003012.5115730152,100988985.69089694
2002-05-07,0.014764642734250932,0.12623721174668323,,,,-0.02468592064894537,-0.04346155786879924,,,,101476464.2734251,1003060.7119087788,100473403.56151633
2002-05-08,0.011680100488340894,0.09652050143499968,,,,-0.027650546488374617,-0.04346155786879924,,,,101168010.0488341,1003108.9143361169,100164901.13449799
2002-05-09,0.005402949592582473,0.04273402287843231,,,,-0.03368366332061701,-0.04346155786879924,,,,100540294.95925824,1003157.3977316376,99537137.56152661
2002-05-10,-0.001290731996499317,-0.009773209631742885,,,,-0.04011711756369518,-0.04346155786879924,,,,99870926.80035007,1003205.8839159246,98867720.91643414
2002-05-13,0.004690341289969258,0.03547118640022795,,,,-0.03436856786038145,-0.04346155786879924,,,,100469034.12899692,1003351.3557154242,99465682.7732815
2002-05-14,0.007323581024096137,0.054711558103791136,,,,-0.031837699441394585,-0.04346155786879924,,,,100732358.10240962,1003400.129839809,99728957.97256981
2002-05-15,0.008308336448354048,0.06100436081860927,,,,-0.030891227925193276,-0.04346155786879924,,,,100830833.64483541,1003448.348302552,99827385.29653285
2002-05-16,0.009093927890882147,0.06560624641458057,,,,-0.030136177579281664,-0.04346155786879924,,,,100909392.78908822,1003496.2913746445,99905896.49771358
2002-05-17,0.011119034545920892,0.07912647633347514,,,,-0.02818980011433092,-0.04346155786879924,,,,101111903.4545921,1003544.5147177282,100108358.93987437
2002-05-20,0.005822208152936437,0.04001974032844635,,,,-0.03328070409284978,-0.04346155786879924,,,,100582220.81529364,1003688.920511393,99578531.89478225
2002-05-21,0.0010736656812717627,0.0071468311259261785,,,,-0.03784463954544093,-0.04346155786879924,,,,100107366.56812719,1003736.8747385498,99103629.69338864
2002-05-22,0.0024641334746822174,0.016170463737631424,,,,-0.03650822836329415,-0.04346155786879924,,,,100246413.34746821,1003784.552180673,99242628.79528753
2002-05-23,0.015769137962933,0.10538083083850802,,,,-0.023720476744105823,-0.04346155786879924,,,,101576913.7962933,1003832.2317143707,100573081.56457894
2002-05-24,0.015828390022791128,0.10387816770443137,,,,-0.023663528200791872,-0.04346155786879924,,,,101582839.00227912,1003879.9140368346,100578959.08824228
2002-05-28,0.012942542427119008,0.0828046305711494,,,,-0.026437183955427268,-0.04346155786879924,,,,101294254.2427119,1004071.2226928434,100290183.02001905
2002-05-29,0.020782525398683527,0.13329714980352803,,,,-0.018901992589835048,-0.04346155786879924,,,,102078252.53986835,1004119.1950469798,101074133.34482138
2002-05-30,0.019549922051024904,0.12282773199381314,,,,-0.020086676553584093,-0.04346155786879924,,,,101954992.20510249,1004167.1694926908,100950825.0356098
2002-05-31,0.02278698485699504,0.14184295748918418,,,,-0.016975459629530176,-0.04346155786879924,,,,102278698.4856995,1004214.8671533681,101274483.61854614
2002-06-03,0.01771420038541427,0.10708615937255561,,,,-0.021851031666919152,-0.04346155786879924,,,,101771420.03854142,1004358.2536530301,100767061.78488839
2002-06-04,0.017112133393903717,0.10160370521742301,,,,-0.02242969236202419,-0.04346155786879924,,,,101711213.33939038,1004406.5188276051,100706806.82056278
2002-06-05,0.024119228625448574,0.14319983520072999,,,,-0.015695008922261278,-0.04346155786879924,,,,102411922.86254486,1004454.5072171465,101407468.35532773
2002-06-06,0.01618361486307407,0.09284435258680945,,,,-0.02332211328202849,-0.04346155786879924,,,,101618361.4863074,1004502.2188216541,100613859.26748574
2002-06-07,0.012953263447993413,0.07262955620997835,,,,-0.02642687973101554,-0.04346155786879924,,,,101295326.34479934,1004549.9325177363,100290776.4122816
2002-06-10,0.01664060767277853,0.09262807779764937,,,,-0.022882886782900513,-0.04346155786879924,,,,101664060.76727785,1004693.3664264218,100659367.40085143
2002-06-11,0.01729761833178811,0.09496184826653042,,,,-0.022251418441345705,-0.04346155786879924,,,,101729761.83317882,1004741.3687597936,100725020.46441902
2002-06-12,0.020386214543558268,0.11096669085702127,,,,-0.019282896240322867,-0.04346155786879924,,,,102038621.45435582,1004789.0936109403,101033832.36074488
2002-06-13,0.017000714037605613,0.09052958556665192,,,,-0.022536780116497956,-0.04346155786879924,,,,101700071.40376057,1004836.262800445,100695235.14096013
2002-06-14,0.012613513499400097,0.06560593368766443,,,,-0.026753421368718833,-0.04346155786879924,,,,101261351.34994002,1004883.1552049161,100256468.1947351
2002-06-17,0.020142062339814748,0.10484988162643671,,,,-0.019517556645098022,-0.04346155786879924,,,,102014206.23398148,1005024.4041153768,101009181.8298661
2002-06-18,0.017440729897155727,0.08902593630672762,,,,-0.022113870562021742,-0.04346155786879924,,,,101744072.98971558,1005071.863336554,100739001.12637903
2002-06-19,0.01655850394188474,0.08320562134350418,,,,-0.02296179860278047,-0.04346155786879924,,,,101655850.39418846,1005118.7668960898,100650731.62729238
2002-06-20,0.01898034258540715,0.09450401177237366,,,,-0.020634112726201748,-0.04346155786879924,,,,101898034.25854072,1005166.2309976077,100892868.02754311
2002-06-21,0.023850201984982666,0.1182097921228511,,,,-0.015953576731108088,-0.04346155786879924,,,,102385020.19849826,1005213.4176169005,101379806.78088136
2002-06-24,0.01642068907459393,0.07919602244025192,,,,-0.023094255701453514,-0.04346155786879924,,,,101642068.9074594,1005355.550566209,100636713.35689318
2002-06-25,0.014052135135084853,0.06659623289299632,,,,-0.025370728400266884,-0.04346155786879924,,,,101405213.51350848,1005403.0258227913,100399810.4876857
2002-06-26,0.011414511929615179,0.0531479501580403,,,,-0.027905809876288656,-0.04346155786879924,,,,101141451.19296153,1005449.6651467406,100136001.52781479
2002-06-27,0.01746078307936605,0.08112512436328823,,,,-0.022094596978649017,-0.04346155786879924,,,,101746078.30793661,1005496.3065622644,100740582.00137435
2002-06-28,0.016595370003565924,0.07601390648618778,,,,-0.022926365766934964,-0.04346155786879924,,,,101659537.00035658,101659537.00035658,0.0
2002-07-01,0.01673798254950909,0.07572791738810003,,,,-0.022789297506874306,-0.04346155786879924,,,,101673798.25495091,101673798.25495091,0.0
2002-07-02,0.016785712490155813,0.07501275341023783,,,,-0.022743423142357777,-0.04346155786879924,,,,101678571.24901558,101678571.24901558,0.0
2002-07-03,0.016833445250221235,0.074314878253527,,,,-0.02269754606803187,-0.04346155786879924,,,,101683344.52502212,101683344.52502212,0.0
2002-07-05,0.016928916409189476,0.07384759478252367,,,,-0.02260578649976097,-0.04346155786879924,,,,101692891.64091896,101692891.64091896,0.0
