,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Drawdown,Max Drawdown,Calmar Ratio,VaR,Expected Shortfall,value,cash,asset value
2002-03-05,0.0,0.0,,,,0.0,0.0,,,,100000000.0,519228.73688299,99480771.26311702
2002-03-06,0.011003183665772909,6.367760208444738,,,,0.0,0.0,,,,101100318.36657728,101100318.36657728,0.0
2002-03-07,0.01105232995330252,2.8088351713417414,,,,0.0,0.0,,,,101105232.99533024,101105232.99533024,0.0
2002-03-08,0.01110204010369964,1.7386878390985898,,,,0.0,0.0,,,,101110204.01036996,101110204.01036996,0.0
2002-03-11,0.01125202762644939,1.2632711887782953,,,,0.0,0.0,,,,101125202.76264493,101125202.76264493,0.0
2002-03-12,0.011302589914604644,0.9812294136034916,,,,0.0,0.0,,,,101130258.99146047,101130258.99146047,0.0
2002-03-13,0.011352874500297983,0.8015298907854376,,,,0.0,0.0,,,,101135287.45002979,101135287.45002979,0.0
2002-03-14,0.011404004175463944,0.6775984209662549,,,,0.0,0.0,,,,101140400.41754639,101140400.41754639,0.0
2002-03-15,0.011455135965115604,0.5871321326776056,,,,0.0,0.0,,,,101145513.59651156,101145513.59651156,0.0
2002-03-18,0.011608828771733304,0.5239134445548392,,,,0.0,0.0,,,,101160882.87717332,101160882.87717332,0.0
2002-03-19,0.011659971133813452,0.4691159245974743,,,,0.0,0.0,,,,101165997.11338136,101165997.11338136,0.0
2002-03-20,0.011710835088603044,0.42494751696611544,,,,0.0,0.0,,,,101171083.5088603,101171083.5088603,0.0
2002-03-21,0.01176142063610186,0.3886022164822953,,,,0.0,0.0,,,,101176142.06361018,101176142.06361018,0.0
2002-03-22,0.011812009002915014,0.35818786149629256,,,,0.0,0.0,,,,101181200.9002915,101181200.9002915,0.0
2002-03-25,0.011963506973321048,0.33560504693788706,,,,0.0,0.0,,,,101196350.6973321,1.0361048765415116e-07,101196350.697332
2002-03-26,0.019139824398041627,0.5411075139291868,,,,0.0,0.0,,,,101913982.43980415,1.247113956747623e-07,101913982.43980403
2002-03-27,0.024723873006750496,0.6894113073492345,,,,0.0,0.0,,,,102472387.30067505,7.076320074463892e-06,102472387.30066797
2002-03-28,0.01889255609192486,0.46159036994745595,,,,-0.005690622682299251,-0.005690622682299251,,,,101889255.60919248,1.679287620573805e-05,101889255.60917568
2002-04-01,0.024067531889290672,0.5791296392931695,,,,-0.0006405053446583153,-0.005690622682299251,,,,102406753.18892907,2.176109571580739e-07,102406753.18892884
2002-04-02,0.021789137036415163,0.4819835492604587,,,,-0.0028639285642132473,-0.005690622682299251,,,,102178913.70364152,4.363921097339745e-06,102178913.70363715
2002-04-03,0.016625158957159103,0.33187187698051934,,,,-0.007903313529554201,-0.007903313529554201,,,,101662515.8957159,1.3387765567749376e-06,101662515.89571457
2002-04-04,0.016087633309705973,0.3031497922659794,,,,-0.008427870106806457,-0.008427870106806457,,,,101608763.3309706,1.0309484677766995e-06,101608763.33096957
2002-04-05,0.01846137372883483,0.3368317559959335,,,,-0.0061114017569827706,-0.008427870106806457,,,,101846137.37288348,6.900093343648736e-06,101846137.37287658
2002-04-08,0.028165637415132005,0.525665829292326,,,,0.0,-0.008427870106806457,,,,102816563.74151321,3.819326389290836e-06,102816563.7415094
2002-04-09,0.03234364866509942,0.5916025886626988,,,,0.0,-0.008427870106806457,,,,103234364.86650994,3.1586978280644818e-06,103234364.86650679
