,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Drawdown,Max Drawdown,Calmar Ratio,VaR,Expected Shortfall,value,cash,asset value
2002-03-05,0.0,0.0,,,,0.0,0.0,,,,100000000.0,100000000.0,0.0
2002-03-06,4.861098156916377e-05,0.008910755016981575,,,,0.0,0.0,,,,100004861.09815691,100004861.09815691,0.0
2002-03-07,9.722475190443447e-05,0.0118986690781957,,,,0.0,0.0,,,,100009722.47519045,100009722.47519045,0.0
2002-03-08,0.00014639627545598444,0.013447294801425036,,,,0.0,0.0,,,,100014639.6275456,100014639.6275456,0.0
2002-03-11,0.00029475863099936994,0.02174730872118036,,,,0.0,0.0,,,,100029475.86309993,100029475.86309993,0.0
2002-03-12,0.00034477305909885736,0.021191496800936793,,,,0.0,0.0,,,,100034477.30590989,100034477.30590989,0.0
2002-03-13,0.00039451279373947656,0.02077992508068327,,,,0.0,0.0,,,,100039451.27937394,100039451.27937394,0.0
2002-03-14,0.00044508846101298793,0.0205101436826014,,,,0.0,0.0,,,,100044508.8461013,100044508.8461013,0.0
2002-03-15,0.0004956662198611905,0.020300343756727512,,,,0.0,0.0,,,,100049566.62198612,100049566.62198612,0.0
2002-03-18,0.000647693711227193,0.02391464408635957,,,,0.0,0.0,,,,100064769.37112272,100064769.37112272,0.0
2002-03-19,0.0006982819279479635,0.023432504375228813,,,,0.0,0.0,,,,100069828.1927948,100069828.1927948,0.0
2002-03-20,0.0007485947540184501,0.023022252254135456,,,,0.0,0.0,,,,100074859.47540185,100074859.47540185,0.0
2002-03-21,0.0007986321894382087,0.02266727061143614,,,,0.0,0.0,,,,100079863.21894382,100079863.21894382,0.0
2002-03-22,0.0008486724136240742,0.022363106312302206,,,,0.0,0.0,,,,100084867.24136241,100084867.24136241,0.0
2002-03-25,0.0009985288505955925,0.02458270491418091,,,,0.0,0.0,,,,100099852.88505955,100099852.88505955,0.0
2002-03-26,0.0010480231738210222,0.02418329468526026,,,,0.0,0.0,,,,100104802.3173821,100104802.3173821,0.0
2002-03-27,0.0010975188914295053,0.023830980079972974,,,,0.0,0.0,,,,100109751.88914295,100109751.88914295,0.0
2002-03-28,0.0011464617361622853,0.02350640106774371,,,,0.0,0.0,,,,100114646.17361623,100114646.17361623,0.0
2002-04-01,0.0013419779429968415,0.026097549674975795,,,,0.0,0.0,,,,100134197.79429968,100134197.79429968,0.0
2002-04-02,0.00139121012221044,0.02569654712894942,,,,0.0,0.0,,,,100139121.01222105,100139121.01222105,0.0
2002-04-03,0.0014401669107737547,0.025328926521020367,,,,0.0,0.0,,,,100144016.69107738,100144016.69107738,0.0
2002-04-04,0.0014888483086865634,0.024990123456222202,,,,0.0,0.0,,,,100148884.83086865,100148884.83086865,0.0
2002-04-05,0.0015369754393403934,0.024671841679509532,,,,0.0,0.0,,,,100153697.54393403,100153697.54393403,0.0
2002-04-08,0.0016810925957155831,0.025874224152828917,,,,0.0,0.0,,,,100168109.25957157,-3.3829759923122615e-05,100168109.2596054
2002-04-09,0.006093807795214623,0.09275235325947562,,,,0.0,0.0,,,,100609380.77952147,-3.3831357441209635e-05,100609380.77955529
2002-04-10,0.021897212518080966,0.35538544946284056,,,,0.0,0.0,,,,102189721.2518081,-3.3832936240037175e-05,102189721.25184193
2002-04-11,0.011782196345938578,0.17157245358761064,,,,-0.009898271615026544,-0.009898271615026544,,,,101178219.63459386,-3.383452450445253e-05,101178219.6346277
2002-04-12,0.025775947833220236,0.3934050605546706,,,,0.0,-0.009898271615026544,,,,102577594.78332202,-3.383610344455749e-05,102577594.78335586
2002-04-15,0.020621029155465154,0.2929168255483219,,,,-0.005025384625798712,-0.009898271615026544,,,,102062102.9155465,-1.1104546266653203e-05,102062102.91555761
2002-04-16,0.02196601271574261,0.30259730660385475,,,,-0.003714198139979308,-0.009898271615026544,,,,102196601.27157426,-1.1105073737413303e-05,102196601.27158536
2002-04-17,0.012746338117826106,0.16082322630811063,,,,-0.01270219850925236,-0.01270219850925236,,,,101274633.81178261,-1.1105598140764196e-05,101274633.81179371
2002-04-18,0.011185080258457214,0.13527124246154676,,,,-0.014224224700904453,-0.014224224700904453,,,,101118508.02584572,-1.1106119484432351e-05,101118508.02585682
2002-04-19,0.008971708028580716,0.10383450335040023,,,,-0.016381978774346995,-0.016381978774346995,,,,100897170.80285807,-1.1106643941868544e-05,100897170.80286917
2002-04-22,0.0010732275877449737,0.01158179122866132,,,,-0.02408198427508046,-0.02408198427508046,,,,100107322.75877449,880301.1312375868,99227021.62753691
2002-04-23,-0.0045591740066898145,-0.04653674041000244,,,,-0.02957285351054284,-0.02957285351054284,,,,99544082.59933102,880342.7012757631,98663739.89805526
2002-04-24,-0.0069167068444244695,-0.06795238148745486,,,,-0.03187114568898053,-0.03187114568898053,,,,99308329.31555755,880384.0282286239,98427945.28732893
2002-04-25,-0.0022255299043190124,-0.021739239611856642,,,,-0.027297849785508865,-0.03187114568898053,,,,99777447.0095681,880425.8468628661,98897021.16270523
2002-04-26,-0.01189474736837115,-0.10857780159613128,,,,-0.03672409679829636,-0.03672409679829636,,,,98810525.26316288,880467.9116439515,97930057.35151893
2002-04-29,-0.01218038649491715,-0.10836272515616163,,,,-0.0370025583153063,-0.0370025583153063,,,,98781961.35050829,183285.921972092,98598675.42853619
2002-04-30,0.0013582583083406874,0.012462717884580421,,,,-0.023804115875847853,-0.0370025583153063,,,,100135825.83083406,183294.78077095505,99952531.0500631
2002-05-01,0.010286338406026108,0.09538481141493427,,,,-0.015100382749189234,-0.0370025583153063,,,,101028633.84060262,183303.6400795964,100845330.20052302
2002-05-02,0.021870969295085585,0.20685820386349962,,,,-0.0038068532864151683,-0.0370025583153063,,,,102187096.92950857,183312.49977057142,102003784.429738
2002-05-03,0.01813768825961093,0.1648354928843958,,,,-0.007446323526832277,-0.0370025583153063,,,,101813768.8259611,183321.30899350034,101630447.5169676
2002-05-06,0.009070903755419302,0.07778503245374102,,,,-0.01628527566189042,-0.0370025583153063,,,,100907090.37554193,-9.457519844494889e-05,100907090.3756365
2002-05-07,0.003213925071285484,0.0263683539782833,,,,-0.021995078759248776,-0.0370025583153063,,,,100321392.50712855,-9.457974330981085e-05,100321392.50722313
2002-05-08,0.006570186109544851,0.0533362239647428,,,,-0.01872315466573804,-0.0370025583153063,,,,100657018.61095448,-9.458428837188978e-05,100657018.61104906
2002-05-09,-0.0029532720870711904,-0.02270714127311535,,,,-0.028007305085459566,-0.0370025583153063,,,,99704672.79129288,-9.458885992678043e-05,99704672.79138747
2002-05-10,-0.013264759193478248,-0.09655713317650505,,,,-0.03805968263261128,-0.03805968263261128,,,,98673524.08065218,-9.459343174462702e-05,98673524.08074677
2002-05-13,-0.005254013643289701,-0.03848029026863631,,,,-0.030250233047533936,-0.03805968263261128,,,,99474598.63567103,-7.944980924101868e-05,99474598.63575049
2002-05-14,0.004849246102626825,0.035944884967539004,,,,-0.02040085047304674,-0.03805968263261128,,,,100484924.61026269,-7.945367139245368e-05,100484924.61034214
2002-05-15,0.006074712356004985,0.044297450515482506,,,,-0.019206178034131827,-0.03805968263261128,,,,100607471.2356005,-7.945748954413603e-05,100607471.23567995
2002-05-16,0.0021480060044518634,0.015175171002144383,,,,-0.023034213152178573,-0.03805968263261128,,,,100214800.60044518,-7.94612858891656e-05,100214800.60052465
2002-05-17,0.004055050036616548,0.028261815910777477,,,,-0.021175089786892975,-0.03805968263261128,,,,100405505.00366165,-7.946510442729499e-05,100405505.00374112
2002-05-20,-0.0032709666720286412,-0.02190213766912974,,,,-0.028317016563515263,-0.03805968263261128,,,,99672903.33279714,-8.188777263636858e-05,99672903.33287902
2002-05-21,-0.011030575800629605,-0.07096572004180124,,,,-0.035881640344168075,-0.03805968263261128,,,,98896942.41993704,-8.189168506856757e-05,98896942.42001894
2002-05-22,-0.010550536593460391,-0.06679672183878993,,,,-0.03541366367910481,-0.03805968263261128,,,,98944946.34065396,-8.189557491875988e-05,98944946.34073585
2002-05-23,0.0024103223976372767,0.015535388078770085,,,,-0.022778488309205147,-0.03805968263261128,,,,100241032.23976374,-8.189946493959707e-05,100241032.23984563
2002-05-24,-0.0016337927164105093,-0.010237273479317799,,,,-0.026720981913768926,-0.03805968263261128,,,,99836620.72835895,99836620.72835895,0.0
2002-05-28,-0.0014435348034373963,-0.00889697981472215,,,,-0.026535504847968294,-0.03805968263261128,,,,99855646.51965626,99855646.51965626,0.0
2002-05-29,-0.0013958259325018707,-0.0084612068941744,,,,-0.026488994817160494,-0.03805968263261128,,,,99860417.40674981,99860417.40674981,0.0
2002-05-30,-0.0013481149814794646,-0.008039540513397614,,,,-0.02644248275853489,-0.03805968263261128,,,,99865188.50185205,99865188.50185205,0.0
2002-05-31,-0.0013006792952775514,-0.007632929109928521,,,,-0.0263962390478083,-0.03805968263261128,,,,99869932.07047224,99869932.07047224,0.0
2002-06-03,-0.00115808033115683,-0.00669091657615517,,,,-0.02625722334518632,-0.03805968263261128,,,,99884191.96688432,99884191.96688432,0.0
2002-06-04,-0.00111008024806869,-0.006314422646715556,,,,-0.026210429419875947,-0.03805968263261128,,,,99888991.97519313,99888991.97519313,0.0
2002-06-05,-0.001062355429801043,-0.00595092800657715,,,,-0.026163903842464475,-0.03805968263261128,,,,99893764.4570199,99893764.4570199,0.0
2002-06-06,-0.0010149058763537777,-0.005599849235336407,,,,-0.026117646612952128,-0.03805968263261128,,,,99898509.41236462,99898509.41236462,0.0
2002-06-07,-0.000967454242819743,-0.00525913287296198,,,,-0.026071387355621756,-0.03805968263261128,,,,99903254.57571803,99903254.57571803,0.0
2002-06-10,-0.0008248081300645804,-0.004419311741839516,,,,-0.025932325689127733,-0.03805968263261128,,,,99917519.18699354,99917519.18699354,0.0
2002-06-11,-0.0007770694445514703,-0.004103739230124859,,,,-0.025885786592930393,-0.03805968263261128,,,,99922293.05554485,99922293.05554485,0.0
2002-06-12,-0.0007296067172208875,-0.0037985336572267103,,,,-0.02583951652057115,-0.03805968263261128,,,,99927039.32827792,99927039.32827792,0.0
2002-06-13,-0.0006826965996180601,-0.003504680224410639,,,,-0.025793785171827954,-0.03805968263261128,,,,99931730.3400382,99931730.3400382,0.0
2002-06-14,-0.0006360617468356144,-0.003220309253211262,,,,-0.02574832217098355,-0.03805968263261128,,,,99936393.82531644,99936393.82531644,0.0
2002-06-17,-0.0004955886314285118,-0.002475488293130712,,,,-0.025611378898231063,-0.03805968263261128,,,,99950441.13685715,99950441.13685715,0.0
2002-06-18,-0.000448390075122429,-0.0022097047389807445,,,,-0.025565366358742514,-0.03805968263261128,,,,99955160.99248776,99955160.99248776,0.0
2002-06-19,-0.00040174412854354635,-0.001953636762674904,,,,-0.02551989254286946,-0.03805968263261128,,,,99959825.58714564,99959825.58714564,0.0
2002-06-20,-0.000354540718701446,-0.0017015810329609193,,,,-0.025473875271805668,-0.03805968263261128,,,,99964545.92812985,99964545.92812985,0.0
2002-06-21,-0.000307613267042095,-0.0014573281715353215,,,,-0.025428127024580194,-0.03805968263261128,,,,99969238.6732958,99969238.6732958,0.0
2002-06-24,-0.0001662609682790972,-0.0007777781271982587,,,,-0.02529032666080533,-0.03805968263261128,,,,99983373.90317209,99983373.90317209,0.0
2002-06-25,-0.00011904646464078183,-0.000549906292920288,,,,-0.025244298574712998,-0.03805968263261128,,,,99988095.35353592,99988095.35353592,0.0
2002-06-26,-7.266330236155305e-05,-0.00033148340973687684,,,,-0.025199080939831586,-0.03805968263261128,,,,99992733.66976385,99992733.66976385,0.0
2002-06-27,-2.6278059995443748e-05,-0.00011840802530826977,,,,-0.02515386127713226,-0.03805968263261128,,,,99997372.19400045,99997372.19400045,0.0
2002-06-28,2.010995581969155e-05,8.951693408820738e-05,,,,-0.02510863891067583,-0.03805968263261128,,,,100002010.99558197,100002010.99558197,0.0
2002-07-01,0.0001603972501389439,0.0007055536241911131,,,,-0.024971876789653513,-0.03805968263261128,,,,100016039.7250139,100016039.7250139,0.0
2002-07-02,0.00020734896947782744,0.0009012931661913637,,,,-0.024926104884552713,-0.03805968263261128,,,,100020734.89694779,100020734.89694779,0.0
2002-07-03,0.00025430346226573697,0.001092466464957198,,,,-0.024880330275694917,-0.03805968263261128,,,,100025430.34622657,100025430.34622657,0.0
2002-07-05,0.00034821799473983006,0.0014787369529596361,,,,-0.024788775650464556,-0.03805968263261128,,,,100034821.79947399,100034821.79947399,0.0
