,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Drawdown,Max Drawdown,Calmar Ratio,VaR,Expected Shortfall,value,cash,asset value
2002-03-05,0.0,0.0,,,,0.0,0.0,,,,100000000.0,100000000.0,0.0
2002-03-06,4.861098156916377e-05,0.008910755016981575,,,,0.0,0.0,,,,100004861.09815691,100004861.09815691,0.0
2002-03-07,9.722475190443447e-05,0.0118986690781957,,,,0.0,0.0,,,,100009722.47519045,100009722.47519045,0.0
2002-03-08,0.00014639627545598444,0.013447294801425036,,,,0.0,0.0,,,,100014639.6275456,100014639.6275456,0.0
2002-03-11,0.00029475863099936994,0.02174730872118036,,,,0.0,0.0,,,,100029475.86309993,100029475.86309993,0.0
2002-03-12,0.00034477305909885736,0.021191496800936793,,,,0.0,0.0,,,,100034477.30590989,100034477.30590989,0.0
2002-03-13,0.00039451279373947656,0.02077992508068327,,,,0.0,0.0,,,,100039451.27937394,100039451.27937394,0.0
2002-03-14,0.00044508846101298793,0.0205101436826014,,,,0.0,0.0,,,,100044508.8461013,100044508.8461013,0.0
2002-03-15,0.0004956662198611905,0.020300343756727512,,,,0.0,0.0,,,,100049566.62198612,100049566.62198612,0.0
2002-03-18,0.000647693711227193,0.02391464408635957,,,,0.0,0.0,,,,100064769.37112272,100064769.37112272,0.0
2002-03-19,0.0006982819279479635,0.023432504375228813,,,,0.0,0.0,,,,100069828.1927948,100069828.1927948,0.0
2002-03-20,0.0007485947540184501,0.023022252254135456,,,,0.0,0.0,,,,100074859.47540185,100074859.47540185,0.0
2002-03-21,0.0007986321894382087,0.02266727061143614,,,,0.0,0.0,,,,100079863.21894382,100079863.21894382,0.0
2002-03-22,0.0008486724136240742,0.022363106312302206,,,,0.0,0.0,,,,100084867.24136241,100084867.24136241,0.0
2002-03-25,0.0009985288505955925,0.02458270491418091,,,,0.0,0.0,,,,100099852.88505955,100099852.88505955,0.0
2002-03-26,0.0010480231738210222,0.02418329468526026,,,,0.0,0.0,,,,100104802.3173821,100104802.3173821,0.0
2002-03-27,0.0010975188914295053,0.023830980079972974,,,,0.0,0.0,,,,100109751.88914295,100109751.88914295,0.0
2002-03-28,0.0011464617361622853,0.02350640106774371,,,,0.0,0.0,,,,100114646.17361623,100114646.17361623,0.0
2002-04-01,0.0013419779429968415,0.026097549674975795,,,,0.0,0.0,,,,100134197.79429968,100134197.79429968,0.0
2002-04-02,0.00139121012221044,0.02569654712894942,,,,0.0,0.0,,,,100139121.01222105,100139121.01222105,0.0
2002-04-03,0.0014401669107737547,0.025328926521020367,,,,0.0,0.0,,,,100144016.69107738,100144016.69107738,0.0
2002-04-04,0.0014888483086865634,0.024990123456222202,,,,0.0,0.0,,,,100148884.83086865,100148884.83086865,0.0
2002-04-05,0.0015369754393403934,0.024671841679509532,,,,0.0,0.0,,,,100153697.54393403,100153697.54393403,0.0
2002-04-08,0.0016810925957155831,0.025874224152828917,,,,0.0,0.0,,,,100168109.25957157,100168109.25957157,0.0
2002-04-09,0.001728394251609533,0.025533303661433804,,,,0.0,0.0,,,,100172839.42516094,100172839.42516094,0.0
2002-04-10,0.0017751416402445042,0.02521071317190904,,,,0.0,0.0,,,,100177514.16402444,100177514.16402444,0.0
2002-04-11,0.0018221692998707795,0.024915954762601222,,,,0.0,0.0,,,,100182216.92998707,100182216.92998707,0.0
2002-04-12,0.001868920871654911,0.02463861617166274,,,,0.0,0.0,,,,100186892.08716549,100186892.08716549,0.0
2002-04-15,0.0020091888336462027,0.02558450216958663,,,,0.0,0.0,,,,100200918.88336462,100200918.88336462,0.0
2002-04-16,0.002056784704361325,0.025313597343761263,,,,0.0,0.0,,,,100205678.47043614,100205678.47043614,0.0
2002-04-17,0.0021041037900428883,0.025056874232646242,,,,0.0,0.0,,,,100210410.3790043,100210410.3790043,0.0
2002-04-18,0.0021511467878827517,0.024813008288079752,,,,0.0,0.0,,,,100215114.67878827,100215114.67878827,0.0
2002-04-19,0.002198470753905113,0.02458712707335886,,,,0.0,0.0,,,,100219847.07539052,100219847.07539052,0.0
2002-04-22,0.002340177022002843,0.025410621656769106,,,,0.0,0.0,,,,100234017.7022003,100234017.7022003,0.0
2002-04-23,0.0023875100515149406,0.025180447911652415,,,,0.0,0.0,,,,100238751.0051515,100238751.0051515,0.0
2002-04-24,0.002434566295993701,0.02496021651026581,,,,0.0,0.0,,,,100243456.62959936,100243456.62959936,0.0
2002-04-25,0.0024821823852632097,0.02475755627397369,,,,0.0,0.0,,,,100248218.23852631,100248218.23852631,0.0
2002-04-26,0.0025300787455238005,0.024568328378706594,,,,0.0,0.0,,,,100253007.87455237,100253007.87455237,0.0
2002-04-29,0.0026743381289691115,0.02531066393983128,,,,0.0,0.0,,,,100267433.81289692,100267433.81289692,0.0
2002-04-30,0.0027228006087443024,0.0251221662580996,,,,0.0,0.0,,,,100272280.06087443,1002722.8006051749,99269557.26026925
2002-05-01,0.012165131662393414,0.11365332992833288,,,,0.0,0.0,,,,101216513.16623935,1002771.2658737161,100213741.90036564
2002-05-02,0.023005711360376102,0.21855470504088514,,,,0.0,0.0,,,,102300571.1360376,1002819.7332338317,101297751.40280378
2002-05-03,0.018563439158775008,0.1689766157708794,,,,-0.004342372825752672,-0.004342372825752672,,,,101856343.91587749,1002867.9245061052,100853475.9913714
2002-05-06,0.012132364083129232,0.10521274592553942,,,,-0.010628823628743622,-0.010628823628743622,,,,101213236.40831292,1003012.511569565,100210223.89674336
2002-05-07,0.007235102034523155,0.060216825967719156,,,,-0.015415954330187831,-0.015415954330187831,,,,100723510.20345232,1003060.7119053283,99720449.49154699
2002-05-08,0.008022622299581172,0.06545695232839721,,,,-0.014646144097153257,-0.015415954330187831,,,,100802262.22995812,1003108.9143326663,99799153.31562544
2002-05-09,0.0023776173792386945,0.0186136737033038,,,,-0.02016420216628756,-0.02016420216628756,,,,100237761.73792386,1003157.3977281869,99234604.34019567
2002-05-10,-0.004969953495015056,-0.03717786216035679,,,,-0.02734653828881317,-0.02734653828881317,,,,99503004.6504985,1003205.8839124737,98499798.76658602
2002-05-13,0.0024388445987986174,0.018310403285108467,,,,-0.02010435184592274,-0.02734653828881317,,,,100243884.45987986,1003351.3557119728,99240533.1041679
2002-05-14,0.00778399883858194,0.05823579442985172,,,,-0.014879401310040063,-0.02734653828881317,,,,100778399.8838582,1003400.1298363574,99774999.75402185
2002-05-15,0.006105967145231261,0.044529657234070985,,,,-0.01651969683793042,-0.02734653828881317,,,,100610596.71452312,1003448.3482991003,99607148.36622402
2002-05-16,0.0064871417268965725,0.04643346814924021,,,,-0.01614709424399341,-0.02734653828881317,,,,100648714.17268965,1003496.2913711927,99645217.88131845
2002-05-17,0.0076218156452656505,0.053682149895621256,,,,-0.015037937270802937,-0.02734653828881317,,,,100762181.56452656,1003544.5147142762,99758637.04981229
2002-05-20,0.001867798610413418,0.012693040687307144,,,,-0.02066255595176869,-0.02734653828881317,,,,100186779.86104134,1003688.9205079405,99183090.9405334
2002-05-21,-0.00482249182230754,-0.03157208401636702,,,,-0.027202392785938723,-0.02734653828881317,,,,99517750.81776924,1003736.8747350972,98514013.94303414
2002-05-22,-0.0019344739406838007,-0.012541527317451617,,,,-0.024379321663702824,-0.02734653828881317,,,,99806552.60593162,1003784.5521772204,98802768.0537544
2002-05-23,0.0077806642098230405,0.050882955648932526,,,,-0.01488266094849755,-0.02734653828881317,,,,100778066.4209823,1003832.2317109179,99774234.18927139
2002-05-24,0.005403697374184224,0.03449612983194861,,,,-0.017206173719973683,-0.02734653828881317,,,,100540369.73741841,1003879.9140333816,99536489.82338503
2002-05-28,-0.0005374714086213705,-0.0033204040867645945,,,,-0.02301373541472229,-0.02734653828881317,,,,99946252.85913786,1004071.2226893897,98942181.63644847
2002-05-29,0.0033863471134554235,0.02077840353316085,,,,-0.019178157100248394,-0.02734653828881317,,,,100338634.71134554,1004119.195043526,99334515.51630202
2002-05-30,0.0043960493025023695,0.026594055831530516,,,,-0.018191161448284476,-0.02734653828881317,,,,100439604.93025023,1004167.1694892368,99435437.760761
2002-05-31,0.007954650647046257,0.04774949172054366,,,,-0.014712587179318004,-0.02734653828881317,,,,100795465.06470463,100795465.06470463,0.0
2002-06-03,0.008098571130502163,0.04784043642443536,,,,-0.014571903230188865,-0.02734653828881317,,,,100809857.11305021,100809857.11305021,0.0
2002-06-04,0.008147016048784428,0.04736260905891787,,,,-0.01452454775822587,-0.02734653828881317,,,,100814701.60487844,100814701.60487844,0.0
2002-06-05,0.008195183151261665,0.04689805851035134,,,,-0.014477463854448702,-0.02734653828881317,,,,100819518.31512617,100819518.31512617,0.0
2002-06-06,0.008243072437933874,0.04644617419760144,,,,-0.014430651518857252,-0.02734653828881317,,,,100824307.24379338,100824307.24379338,0.0
2002-06-07,0.008290963823969433,0.046007964383569355,,,,-0.014383837131113464,-0.02734653828881317,,,,100829096.38239695,100829096.38239695,0.0
2002-06-10,0.00843493189300415,0.046117671008498506,,,,-0.014243106666526728,-0.02734653828881317,,,,100843493.18930042,100843493.18930042,0.0
2002-06-11,0.008483112991239716,0.04569859126845599,,,,-0.014196009081732686,-0.02734653828881317,,,,100848311.29912397,100848311.29912397,0.0
2002-06-12,0.00853101557388225,0.04529012836089463,,,,-0.014149183749175287,-0.02734653828881317,,,,100853101.55738823,100853101.55738823,0.0
2002-06-13,0.008578360425550713,0.04489034176488094,,,,-0.014102903605142103,-0.02734653828881317,,,,100857836.04255508,100857836.04255508,0.0
2002-06-14,0.008625427461414148,0.044500336811131636,,,,-0.014056895029294747,-0.02734653828881317,,,,100862542.74614142,100862542.74614142,0.0
2002-06-17,0.008767202395100648,0.044611418754146426,,,,-0.013918308380058919,-0.02734653828881317,,,,100876720.23951007,100876720.23951007,0.0
2002-06-18,0.008814838358544685,0.04423868095752481,,,,-0.01387174367087407,-0.02734653828881317,,,,100881483.83585447,100881483.83585447,0.0
2002-06-19,0.008861916591014873,0.04387319074621865,,,,-0.013825724150213214,-0.02734653828881317,,,,100886191.65910149,100886191.65910149,0.0
2002-06-20,0.008909557452974504,0.04352022549890178,,,,-0.01377915465267221,-0.02734653828881317,,,,100890955.74529745,100890955.74529745,0.0
2002-06-21,0.008956919799341101,0.04317516688102807,,,,-0.013732857407367849,-0.02734653828881317,,,,100895691.97993411,100895691.97993411,0.0
2002-06-24,0.009099582064112877,0.04330004388430786,,,,-0.013593403381659486,-0.02734653828881317,,,,100909958.20641129,100909958.20641129,0.0
2002-06-25,0.00914723412267926,0.04296791721107973,,,,-0.013546822939304981,-0.02734653828881317,,,,100914723.41226792,100914723.41226792,0.0
2002-06-26,0.00919404713552674,0.0426402298737425,,,,-0.013501062673914932,-0.02734653828881317,,,,100919404.71355267,100919404.71355267,0.0
2002-06-27,0.009240862247738013,0.04232073241932488,,,,-0.013455300356372213,-0.02734653828881317,,,,100924086.2247738,100924086.2247738,0.0
2002-06-28,0.009287680159101086,0.04200912482075325,,,,-0.013409535302626008,-0.02734653828881317,,,,100928768.0159101,100928768.0159101,0.0
2002-07-01,0.009429267549623921,0.042135297683314255,,,,-0.013271131979017303,-0.02734653828881317,,,,100942926.7549624,100942926.7549624,0.0
2002-07-02,0.009476654388567596,0.041835881239631334,,,,-0.013224810791933606,-0.02734653828881317,,,,100947665.43885677,100947665.43885677,0.0
2002-07-03,0.00952404402666307,0.04154359544777053,,,,-0.013178486868646422,-0.02734653828881317,,,,100952404.4026663,100952404.4026663,0.0
2002-07-05,0.009618828901157617,0.04146565991641893,,,,-0.013085833549664971,-0.02734653828881317,,,,100961882.89011575,100961882.89011575,0.0
2002-07-08,0.009761304322554176,0.041595856504003104,,,,-0.012946562165532471,-0.02734653828881317,,,,100976130.43225542,100976130.43225542,0.0
2002-07-09,0.009808706556832192,0.04131632191870116,,,,-0.012900225929330045,-0.02734653828881317,,,,100980870.65568322,100980870.65568322,0.0
2002-07-10,0.009856111590262007,0.04104314394525477,,,,-0.012853886956924243,-0.02734653828881317,,,,100985611.15902619,100985611.15902619,0.0
2002-07-11,0.009903518723055615,0.04077610536087928,,,,-0.01280754593236566,-0.02734653828881317,,,,100990351.87230556,100990351.87230556,0.0
2002-07-12,0.009950648040043975,0.04051384477835551,,,,-0.012761476475993128,-0.02734653828881317,,,,100995064.8040044,100995064.8040044,0.0
2002-07-15,0.010092047187616027,0.040642604336765364,,,,-0.012623257162061918,-0.02734653828881317,,,,101009204.7187616,101009204.7187616,0.0
