Date,Rate,Compounded Value
4/1/1954,1.33,100
5/1/1954,1.28,100.0035556
6/1/1954,1.28,100.0071112
7/1/1954,1.31,100.0107504
8/1/1954,1.31,100.0143897
11/1/1954,1.33,100.0180846
12/1/1954,1.3,100.0216964
13/1/1954,1.3,100.0253083
14/1/1954,1.28,100.0288648
15/1/1954,1.2,100.0321991
18/1/1954,1.2,100.0355335
20/1/1954,1.16,100.0387568
21/1/1954,1.08,100.041758
22/1/1954,1,100.0445369
25/1/1954,1,100.0473159
26/1/1954,1,100.050095
27/1/1954,1.08,100.0530965
28/1/1954,0.96,100.0557646
29/1/1954,1.02,100.0585995
1/2/1954,1.04,100.0614901
2/2/1954,1,100.0642696
3/2/1954,1.02,100.0671048
4/2/1954,1.01,100.0699122
5/2/1954,0.9,100.0724139
8/2/1954,0.89,100.074888
9/2/1954,0.88,100.0773342
10/2/1954,0.93,100.0799196
11/2/1954,0.94,100.0825328
15/2/1954,0.98,100.0852572
16/2/1954,0.98,100.0879818
17/2/1954,1.02,100.0908176
18/2/1954,0.97,100.0935145
19/2/1954,0.96,100.0961836
23/2/1954,0.95,100.0988251
24/2/1954,0.97,100.1015222
25/2/1954,1,100.1043028
26/2/1954,1,100.1070835
1/3/1954,1.03,100.1099476
2/3/1954,1.03,100.1128119
3/3/1954,1.05,100.1157318
4/3/1954,1.03,100.1185963
5/3/1954,1.02,100.121433
8/3/1954,1.03,100.1242975
9/3/1954,1.03,100.1271622
10/3/1954,1.06,100.1301104
11/3/1954,1.05,100.1330309
12/3/1954,1.04,100.1359236
15/3/1954,1.04,100.1388164
16/3/1954,1.02,100.1416537
17/3/1954,1.01,100.1444632
18/3/1954,1.01,100.1472728
19/3/1954,1,100.1500547
22/3/1954,1,100.1528366
23/3/1954,1,100.1556187
24/3/1954,1.05,100.1585399
25/3/1954,1.07,100.1615168
26/3/1954,1.05,100.1644382
29/3/1954,1.05,100.1673596
30/3/1954,1.04,100.1702534
31/3/1954,1.03,100.1731193
1/4/1954,1.02,100.1759576
2/4/1954,1,100.1787402
5/4/1954,0.98,100.1814673
6/4/1954,0.97,100.1841667
7/4/1954,1,100.1869496
8/4/1954,1,100.1897325
9/4/1954,1.03,100.1925991
12/4/1954,1.04,100.1954935
13/4/1954,1.06,100.1984437
14/4/1954,1.04,100.2013383
15/4/1954,1.03,100.2042052
16/4/1954,1.03,100.2070722
19/4/1954,1.02,100.2099114
20/4/1954,1,100.212695
21/4/1954,1,100.2154787
22/4/1954,0.98,100.2182068
23/4/1954,0.94,100.2208236
26/4/1954,0.85,100.2231899
27/4/1954,0.83,100.2255006
28/4/1954,0.82,100.2277835
29/4/1954,0.81,100.2300386
30/4/1954,0.81,100.2322938
3/5/1954,0.77,100.2344377
4/5/1954,0.72,100.2364423
5/5/1954,0.72,100.2384471
6/5/1954,0.75,100.2405354
7/5/1954,0.79,100.2427351
10/5/1954,0.8,100.2449627
11/5/1954,0.78,100.2471347
12/5/1954,0.82,100.2494181
13/5/1954,0.82,100.2517016
14/5/1954,0.8,100.2539294
17/5/1954,0.8,100.2561572
18/5/1954,0.81,100.258413
19/5/1954,0.79,100.2606131
20/5/1954,0.78,100.2627854
21/5/1954,0.76,100.2649021
24/5/1954,0.73,100.2669352
25/5/1954,0.7,100.2688849
26/5/1954,0.7,100.2708345
27/5/1954,0.7,100.2727843
28/5/1954,0.72,100.2747897
1/6/1954,0.71,100.2767674
2/6/1954,0.71,100.278745
3/6/1954,0.68,100.2806392
4/6/1954,0.66,100.2824777
7/6/1954,0.61,100.2841769
8/6/1954,0.61,100.2858762
9/6/1954,0.62,100.2876033
10/6/1954,0.61,100.2893026
11/6/1954,0.62,100.2910298
14/6/1954,0.64,100.2928128
15/6/1954,0.63,100.2945679
16/6/1954,0.63,100.2963231
17/6/1954,0.61,100.2980225
18/6/1954,0.63,100.2997777
21/6/1954,0.63,100.301533
22/6/1954,0.61,100.3032325
23/6/1954,0.62,100.30496
24/6/1954,0.62,100.3066875
25/6/1954,0.64,100.3084707
28/6/1954,0.64,100.3102539
29/6/1954,0.64,100.3120372
30/6/1954,0.64,100.3138206
1/7/1954,0.65,100.3156318
2/7/1954,0.66,100.3174709
6/7/1954,0.66,100.3193101
7/7/1954,0.65,100.3211214
8/7/1954,0.65,100.3229327
9/7/1954,0.67,100.3247999
12/7/1954,0.69,100.3267227
13/7/1954,0.7,100.3286735
14/7/1954,0.73,100.330708
15/7/1954,0.75,100.3327982
16/7/1954,0.73,100.3348327
19/7/1954,0.73,100.3368673
20/7/1954,0.72,100.338874
21/7/1954,0.74,100.3409366
22/7/1954,0.75,100.343027
23/7/1954,0.77,100.3451732
26/7/1954,0.78,100.3473474
27/7/1954,0.77,100.3494937
28/7/1954,0.79,100.3516958
29/7/1954,0.79,100.353898
30/7/1954,0.79,100.3561002
2/8/1954,0.78,100.3582746
3/8/1954,0.77,100.3604211
4/8/1954,0.79,100.3626235
5/8/1954,0.8,100.3648537
6/8/1954,0.83,100.3671677
9/8/1954,0.9,100.3696769
10/8/1954,0.88,100.3721304
11/8/1954,0.93,100.3747233
12/8/1954,0.93,100.3773163
13/8/1954,0.93,100.3799094
16/8/1954,0.91,100.3824468
17/8/1954,0.91,100.3849842
18/8/1954,0.92,100.3875496
19/8/1954,0.93,100.390143
20/8/1954,0.94,100.3927643
23/8/1954,1,100.395553
24/8/1954,1,100.3983417
25/8/1954,0.98,100.4010748
26/8/1954,0.99,100.4038358
27/8/1954,1,100.4066248
30/8/1954,1.04,100.4095255
31/8/1954,1.05,100.4124541
1/9/1954,1.03,100.415327
2/9/1954,1.02,100.4181721
3/9/1954,1.02,100.4210173
7/9/1954,1.03,100.4238904
8/9/1954,1.02,100.4267358
9/9/1954,1.02,100.4295812
10/9/1954,1.02,100.4324267
13/9/1954,1.03,100.4353002
14/9/1954,1.04,100.4382016
15/9/1954,1.02,100.4410474
16/9/1954,1,100.4438374
17/9/1954,1,100.4466275
20/9/1954,0.98,100.4493619
21/9/1954,0.98,100.4520964
22/9/1954,0.99,100.4548588
23/9/1954,0.99,100.4576213
24/9/1954,0.99,100.4603839
27/9/1954,1,100.4631745
28/9/1954,0.99,100.4659372
29/9/1954,1,100.4687279
30/9/1954,0.99,100.4714908
1/10/1954,0.97,100.4741979
4/10/1954,0.96,100.4768773
5/10/1954,0.94,100.4795008
6/10/1954,0.94,100.4821245
7/10/1954,0.94,100.4847482
8/10/1954,0.94,100.4873719
11/10/1954,0.96,100.4900516
13/10/1954,0.98,100.4927871
14/10/1954,0.99,100.4955507
15/10/1954,1,100.4983422
18/10/1954,1,100.5011339
19/10/1954,0.99,100.5038976
20/10/1954,1.01,100.5067173
21/10/1954,1,100.5095092
22/10/1954,1,100.5123011
25/10/1954,1,100.5150931
26/10/1954,1,100.5178852
27/10/1954,1.01,100.5207053
28/10/1954,1.01,100.5235255
29/10/1954,1,100.5263178
1/11/1954,1,100.5291102
3/11/1954,1.01,100.5319306
4/11/1954,1.01,100.5347511
5/11/1954,0.97,100.5374599
8/11/1954,0.94,100.5400851
9/11/1954,0.87,100.5425148
10/11/1954,0.88,100.5449725
12/11/1954,0.9,100.5474861
15/11/1954,0.9,100.5499998
16/11/1954,0.89,100.5524856
17/11/1954,0.9,100.5549994
18/11/1954,0.88,100.5574574
19/11/1954,0.87,100.5598876
22/11/1954,0.87,100.5623178
23/11/1954,0.89,100.5648039
24/11/1954,0.93,100.5674018
26/11/1954,0.97,100.5701116
29/11/1954,1,100.5729052
30/11/1954,1.01,100.5757268
1/12/1954,1.03,100.5786044
2/12/1954,1.03,100.581482
3/12/1954,1.03,100.5843598
6/12/1954,1.05,100.5872935
7/12/1954,1.06,100.5902552
8/12/1954,1.1,100.5933288
9/12/1954,1.11,100.5964305
10/12/1954,1.14,100.599616
13/12/1954,1.26,100.603137
14/12/1954,1.28,100.606714
15/12/1954,1.23,100.6101514
16/12/1954,1.24,100.6136169
17/12/1954,1.25,100.6171104
20/12/1954,1.29,100.6207158
21/12/1954,1.26,100.6242376
22/12/1954,1.22,100.6276476
23/12/1954,1.2,100.6310019
24/12/1954,1.2,100.6343562
27/12/1954,1.15,100.6375709
28/12/1954,1.12,100.6407019
29/12/1954,1.08,100.6437211
30/12/1954,1.03,100.6466006
31/12/1954,1.02,100.6494523
3/1/1955,1.07,100.6524438
4/1/1955,1.07,100.6554354
5/1/1955,1.08,100.6584551
6/1/1955,1.1,100.6615308
7/1/1955,1.11,100.6646345
10/1/1955,1.2,100.66799
11/1/1955,1.23,100.6714295
12/1/1955,1.28,100.6750089
13/1/1955,1.35,100.6787842
14/1/1955,1.36,100.6825876
17/1/1955,1.36,100.6863912
18/1/1955,1.33,100.690111
20/1/1955,1.28,100.6936911
21/1/1955,1.29,100.6972993
24/1/1955,1.31,100.7009635
25/1/1955,1.3,100.7046
26/1/1955,1.26,100.7081246
27/1/1955,1.2,100.7114816
28/1/1955,1.14,100.7146708
31/1/1955,1.12,100.7178041
1/2/1955,1.1,100.7208816
2/2/1955,1.12,100.7240151
3/2/1955,1.13,100.7271767
4/2/1955,1.08,100.7301986
7/2/1955,1.04,100.7331085
8/2/1955,1.03,100.7359906
9/2/1955,1.07,100.7389847
10/2/1955,1.07,100.7419789
11/2/1955,1.06,100.7449452
14/2/1955,1.1,100.7480235
15/2/1955,1.1,100.7511019
16/2/1955,1.17,100.7543764
17/2/1955,1.2,100.7577348
18/2/1955,1.23,100.7611774
21/2/1955,1.3,100.764816
23/2/1955,1.35,100.7685947
24/2/1955,1.37,100.7724295
25/2/1955,1.37,100.7762644
28/2/1955,1.37,100.7800995
1/3/1955,1.36,100.7839068
2/3/1955,1.33,100.7876302
3/3/1955,1.24,100.7911017
4/3/1955,1.17,100.7943775
7/3/1955,1.2,100.7977373
8/3/1955,1.19,100.8010692
9/3/1955,1.25,100.8045692
10/3/1955,1.27,100.8081254
11/3/1955,1.24,100.8115977
14/3/1955,1.25,100.8150981
15/3/1955,1.23,100.8185426
16/3/1955,1.26,100.8220712
17/3/1955,1.28,100.825656
18/3/1955,1.3,100.8292969
21/3/1955,1.32,100.832994
22/3/1955,1.27,100.8365512
23/3/1955,1.31,100.8402205
24/3/1955,1.31,100.84389
25/3/1955,1.29,100.8475036
28/3/1955,1.32,100.8512013
29/3/1955,1.33,100.8549272
30/3/1955,1.4,100.8588493
31/3/1955,1.41,100.8627996
1/4/1955,1.4,100.8667221
4/4/1955,1.43,100.8707287
5/4/1955,1.46,100.8748196
6/4/1955,1.52,100.8790787
7/4/1955,1.55,100.8834222
8/4/1955,1.55,100.8877657
11/4/1955,1.63,100.8923337
12/4/1955,1.62,100.8968739
13/4/1955,1.65,100.9014983
14/4/1955,1.62,100.9060389
15/4/1955,1.62,100.9105797
18/4/1955,1.64,100.9151767
19/4/1955,1.64,100.9197739
20/4/1955,1.65,100.9243994
21/4/1955,1.65,100.9290251
22/4/1955,1.65,100.933651
25/4/1955,1.66,100.9383052
26/4/1955,1.62,100.9428474
27/4/1955,1.62,100.9473899
28/4/1955,1.63,100.9519605
29/4/1955,1.59,100.9564192
2/5/1955,1.61,100.9609342
3/5/1955,1.59,100.9653933
4/5/1955,1.54,100.9697124
5/5/1955,1.49,100.9738914
6/5/1955,1.51,100.9781267
9/5/1955,1.44,100.9821659
10/5/1955,1.39,100.9860649
11/5/1955,1.42,100.9900482
12/5/1955,1.44,100.9940878
13/5/1955,1.43,100.9980995
16/5/1955,1.41,101.0020553
17/5/1955,1.39,101.0059551
18/5/1955,1.41,101.0099112
19/5/1955,1.44,101.0139516
20/5/1955,1.42,101.017936
23/5/1955,1.43,101.0219487
24/5/1955,1.44,101.0259895
25/5/1955,1.47,101.0301148
26/5/1955,1.43,101.0341279
27/5/1955,1.41,101.0380851
31/5/1955,1.39,101.0419863
1/6/1955,1.4,101.0459157
2/6/1955,1.36,101.049733
3/6/1955,1.32,101.0534381
6/6/1955,1.35,101.0572276
7/6/1955,1.36,101.0610454
8/6/1955,1.43,101.0650597
9/6/1955,1.44,101.0691023
10/6/1955,1.47,101.0732293
13/6/1955,1.47,101.0773565
14/6/1955,1.44,101.0813996
15/6/1955,1.49,101.0855832
16/6/1955,1.5,101.0897951
17/6/1955,1.45,101.0938668
20/6/1955,1.41,101.0978263
21/6/1955,1.36,101.1016455
22/6/1955,1.37,101.105493
23/6/1955,1.37,101.1093407
24/6/1955,1.33,101.1130761
27/6/1955,1.37,101.116924
28/6/1955,1.4,101.1208563
29/6/1955,1.45,101.1249292
30/6/1955,1.47,101.1290585
1/7/1955,1.46,101.1331599
5/7/1955,1.48,101.1373176
6/7/1955,1.53,101.1416159
7/7/1955,1.52,101.1458863
8/7/1955,1.51,101.1501288
11/7/1955,1.55,101.1544839
12/7/1955,1.55,101.1588392
13/7/1955,1.6,101.1633351
14/7/1955,1.57,101.167747
15/7/1955,1.57,101.172159
18/7/1955,1.55,101.176515
19/7/1955,1.55,101.1808712
20/7/1955,1.64,101.1854806
21/7/1955,1.66,101.1901463
22/7/1955,1.66,101.1948123
25/7/1955,1.68,101.1995348
26/7/1955,1.68,101.2042574
27/7/1955,1.72,101.2090927
28/7/1955,1.73,101.2139564
29/7/1955,1.75,101.2188765
1/8/1955,1.83,101.2240218
2/8/1955,1.86,101.2292517
3/8/1955,1.9,101.2345944
4/8/1955,1.91,101.2399654
5/8/1955,1.89,101.2452805
8/8/1955,1.88,101.2505678
9/8/1955,1.88,101.2558553
10/8/1955,1.89,101.2611712
11/8/1955,1.87,101.2664312
12/8/1955,1.84,101.271607
15/8/1955,1.86,101.2768394
16/8/1955,1.86,101.282072
17/8/1955,1.88,101.2873612
18/8/1955,1.82,101.2924818
19/8/1955,1.8,101.2975465
22/8/1955,1.84,101.3027239
23/8/1955,1.86,101.3079579
24/8/1955,1.92,101.313361
25/8/1955,1.93,101.3187925
26/8/1955,1.95,101.3242806
29/8/1955,2.04,101.3300223
30/8/1955,2.07,101.3358488
31/8/1955,2.09,101.3417319
1/9/1955,2.1,101.3476435
2/9/1955,2.09,101.3535273
6/9/1955,2.09,101.3594114
7/9/1955,2.11,101.3653522
8/9/1955,2.1,101.3712652
9/9/1955,2.11,101.3772067
12/9/1955,2.09,101.3830922
13/9/1955,2.08,101.3889499
14/9/1955,2.06,101.3947516
15/9/1955,2.04,101.4004973
16/9/1955,2.02,101.406187
19/9/1955,1.98,101.4117643
20/9/1955,1.96,101.4172856
21/9/1955,1.98,101.4228636
22/9/1955,2.01,101.4285263
23/9/1955,2.04,101.434274
26/9/1955,2.08,101.4401346
27/9/1955,2.08,101.4459956
28/9/1955,2.12,101.4519696
29/9/1955,2.12,101.457944
30/9/1955,2.15,101.4640033
3/10/1955,2.18,101.4701475
4/10/1955,2.2,101.4763485
5/10/1955,2.23,101.4826344
6/10/1955,2.22,101.4888925
7/10/1955,2.22,101.4951509
10/10/1955,2.23,101.501438
11/10/1955,2.24,101.5077537
13/10/1955,2.27,101.5141543
14/10/1955,2.3,101.5206399
17/10/1955,2.29,101.5270977
18/10/1955,2.27,101.5334996
19/10/1955,2.27,101.5399018
20/10/1955,2.23,101.5461917
21/10/1955,2.21,101.5524255
24/10/1955,2.21,101.5586597
25/10/1955,2.2,101.564866
26/10/1955,2.23,101.5711574
27/10/1955,2.22,101.577421
28/10/1955,2.19,101.5836003
31/10/1955,2.15,101.5896671
1/11/1955,2.1,101.5955931
2/11/1955,2.06,101.6014067
3/11/1955,2.01,101.6070794
4/11/1955,1.96,101.6126113
7/11/1955,2,101.6182565
8/11/1955,2,101.6239019
9/11/1955,2.08,101.6297735
10/11/1955,2.12,101.6357584
14/11/1955,2.2,101.6419695
15/11/1955,2.3,101.6484633
16/11/1955,2.34,101.6550704
17/11/1955,2.27,101.6614803
18/11/1955,2.35,101.6681166
21/11/1955,2.4,101.6748945
22/11/1955,2.38,101.6816163
23/11/1955,2.44,101.6885081
25/11/1955,2.42,101.6953438
28/11/1955,2.42,101.70218
29/11/1955,2.42,101.7090166
30/11/1955,2.44,101.7159102
1/12/1955,2.42,101.7227478
2/12/1955,2.36,101.7294163
5/12/1955,2.4,101.7361982
6/12/1955,2.45,101.743122
7/12/1955,2.51,101.7502157
8/12/1955,2.5,101.7572817
9/12/1955,2.52,101.7644047
12/12/1955,2.52,101.7715282
13/12/1955,2.52,101.7786522
14/12/1955,2.57,101.7859181
15/12/1955,2.56,101.7931562
16/12/1955,2.55,101.8003666
19/12/1955,2.58,101.8076622
20/12/1955,2.6,101.815015
21/12/1955,2.65,101.8225097
22/12/1955,2.66,101.8300333
23/12/1955,2.67,101.8375857
27/12/1955,2.65,101.8450821
28/12/1955,2.63,101.8525224
29/12/1955,2.54,101.8597087
30/12/1955,2.5,101.8667823
3/1/1956,2.5,101.8738563
4/1/1956,2.5,101.8809309
5/1/1956,2.52,101.8880626
6/1/1956,2.52,101.8951947
9/1/1956,2.58,101.9024972
10/1/1956,2.51,101.9096021
11/1/1956,2.55,101.9168207
12/1/1956,2.53,101.9239832
13/1/1956,2.5,101.9310612
16/1/1956,2.46,101.9380265
17/1/1956,2.42,101.944879
18/1/1956,2.41,101.9517037
19/1/1956,2.35,101.9583589
20/1/1956,2.3,101.9648729
23/1/1956,2.26,101.971274
24/1/1956,2.26,101.9776755
25/1/1956,2.28,101.9841341
26/1/1956,2.28,101.9905931
27/1/1956,2.3,101.9971092
30/1/1956,2.34,102.003739
31/1/1956,2.32,102.0103126
1/2/1956,2.3,102.0168299
2/2/1956,2.25,102.0232059
3/2/1956,2.26,102.0296107
6/2/1956,2.22,102.0359025
7/2/1956,2.2,102.0421381
8/2/1956,2.25,102.0485157
9/2/1956,2.28,102.0549788
10/2/1956,2.33,102.061584
13/2/1956,2.33,102.0681897
14/2/1956,2.32,102.0747674
15/2/1956,2.37,102.0814873
16/2/1956,2.38,102.088236
17/2/1956,2.37,102.0949568
20/2/1956,2.36,102.1016497
21/2/1956,2.41,102.1084849
23/2/1956,2.42,102.1153488
24/2/1956,2.41,102.1221849
27/2/1956,2.36,102.1288796
28/2/1956,2.28,102.1353477
29/2/1956,2.3,102.141873
1/3/1956,2.18,102.1480583
2/3/1956,2.06,102.1539034
5/3/1956,2.15,102.1600043
6/3/1956,2.18,102.1661906
7/3/1956,2.29,102.1726896
8/3/1956,2.29,102.1791889
9/3/1956,2.28,102.1856602
12/3/1956,2.32,102.1922455
13/3/1956,2.33,102.1988596
14/3/1956,2.4,102.2056729
15/3/1956,2.37,102.2124014
16/3/1956,2.38,102.2191588
19/3/1956,2.37,102.2258882
20/3/1956,2.27,102.2323341
21/3/1956,2.25,102.2387237
22/3/1956,2.22,102.2450284
23/3/1956,2.17,102.2511915
26/3/1956,2.13,102.2572413
27/3/1956,2.12,102.2632632
28/3/1956,2.2,102.2695126
29/3/1956,2.3,102.2760465
30/3/1956,2.3,102.2825808
2/4/1956,2.35,102.2892575
3/4/1956,2.36,102.2959632
4/4/1956,2.43,102.3028682
5/4/1956,2.38,102.3096315
6/4/1956,2.38,102.3163953
9/4/1956,2.46,102.3233869
10/4/1956,2.48,102.3304359
11/4/1956,2.57,102.3377411
12/4/1956,2.56,102.3450185
13/4/1956,2.68,102.3526375
16/4/1956,2.75,102.3604561
17/4/1956,2.7,102.3681331
18/4/1956,2.75,102.3759529
19/4/1956,2.75,102.3837733
20/4/1956,2.75,102.3915943
23/4/1956,2.73,102.399359
24/4/1956,2.7,102.4070389
25/4/1956,2.73,102.4148048
26/4/1956,2.7,102.4224859
27/4/1956,2.68,102.4301107
30/4/1956,2.69,102.4377645
1/5/1956,2.65,102.4453051
2/5/1956,2.62,102.4527608
3/5/1956,2.56,102.4600463
4/5/1956,2.54,102.4672755
7/5/1956,2.49,102.4743628
8/5/1956,2.51,102.4815075
9/5/1956,2.56,102.4887951
10/5/1956,2.6,102.4961971
11/5/1956,2.61,102.503628
14/5/1956,2.65,102.5111735
15/5/1956,2.65,102.5187194
16/5/1956,2.71,102.5264368
17/5/1956,2.67,102.5340408
18/5/1956,2.65,102.5415885
21/5/1956,2.65,102.5491367
22/5/1956,2.65,102.5566854
23/5/1956,2.68,102.5643202
24/5/1956,2.65,102.5718701
25/5/1956,2.61,102.5793065
28/5/1956,2.54,102.5865441
29/5/1956,2.53,102.5937536
31/5/1956,2.57,102.6010777
1/6/1956,2.55,102.6083453
4/6/1956,2.52,102.6155279
5/6/1956,2.5,102.6226539
6/6/1956,2.54,102.6298945
7/6/1956,2.54,102.6371356
8/6/1956,2.54,102.6443773
11/6/1956,2.55,102.6516479
12/6/1956,2.51,102.658805
13/6/1956,2.52,102.6659911
14/6/1956,2.5,102.6731207
15/6/1956,2.49,102.6802223
18/6/1956,2.43,102.6871532
19/6/1956,2.38,102.6939419
20/6/1956,2.42,102.7008453
21/6/1956,2.41,102.7077205
22/6/1956,2.43,102.7146533
25/6/1956,2.49,102.7217577
26/6/1956,2.52,102.7289482
27/6/1956,2.54,102.7361963
28/6/1956,2.44,102.7431596
29/6/1956,2.42,102.7500662
2/7/1956,2.38,102.7568591
3/7/1956,2.34,102.7635383
5/7/1956,2.29,102.7700752
6/7/1956,2.33,102.7767267
9/7/1956,2.34,102.7834072
10/7/1956,2.3,102.7899739
11/7/1956,2.37,102.7967409
12/7/1956,2.36,102.8034798
13/7/1956,2.3,102.8100478
16/7/1956,2.24,102.8164449
17/7/1956,2.24,102.8228424
18/7/1956,2.29,102.829383
19/7/1956,2.29,102.8359241
20/7/1956,2.26,102.8423799
23/7/1956,2.28,102.8488933
24/7/1956,2.29,102.8554356
25/7/1956,2.37,102.8622069
26/7/1956,2.34,102.868893
27/7/1956,2.31,102.8754937
30/7/1956,2.33,102.8821521
31/7/1956,2.3,102.8887251
1/8/1956,2.31,102.8953271
2/8/1956,2.27,102.9018152
3/8/1956,2.24,102.908218
6/8/1956,2.33,102.9148785
7/8/1956,2.36,102.9216251
8/8/1956,2.43,102.9285723
9/8/1956,2.41,102.9354628
10/8/1956,2.48,102.9425539
13/8/1956,2.56,102.9498743
14/8/1956,2.59,102.957281
15/8/1956,2.65,102.9648598
16/8/1956,2.69,102.9725535
17/8/1956,2.7,102.9802765
20/8/1956,2.78,102.9882288
21/8/1956,2.8,102.996239
22/8/1956,2.86,103.0044215
23/8/1956,2.84,103.0125474
24/8/1956,2.8,103.0205595
27/8/1956,2.77,103.0284864
28/8/1956,2.7,103.0362135
29/8/1956,2.73,103.0440271
